0010000031;0420003367,0420003237,0420003506,0010000527,0420001565,0420003130,0420000178,0420003220,0420002228,0010001057,0420000223,0420003233,0010001364,0420003268,0190000107,0420003358,0420003234,0420003177,0400001030,0420003166,0010001018,0420001552,0010000230,0420003148,0420000077,0010000550,0420000732,0420003211,0420003297,0400001022,0420000113,0420000160,0420003204,0420001554,0010000596,0420000687,0420003261,0420003673,0420003505,0420003456,0420003151,0420003271,0010001267,0010001283,0010001415,0010001362,0010002103,0420003225,0420003241,0420003105,0420000102,0420003254,0420001219,0010000711,0400000235,0420003316,0420001560,0010000132,0420001213,0010001029,0420001196,0130000333,0420001596,0010000965,0420003161,0010001872,0010001400,0010000248,0190000729,0420003156,0420003262,0010000265,0010001290,0420002232,0420003100,0010000078,0010001020,0010000992,0420000164,0420003229,0010001571,0010000690,0420003152,0010001281,0420003202,0420003223,0420003266,0420003365,0010001782,0010001770,0420003462,0420001190,0420001553,0420003485,0420003328,0190000021,0420003168,0420003180,0420002024,0010000259,0010000219,0420003484,0420001540,0010001798,0340000290,0420003175,0420003146,0010000629,0420003227,0010001006,0010001321,0010001293,0420001185,0010000689,0420000134,0010000176,0420001582,0420003187,0010001021,0420003481,0420003107,0010000133,0420003238,0010001412,0410001289,0420001556,0010000073,0010000691,0010000975,0420001548,0010000069,0010001382,0010002084,0010000623,0420003341,0420003246,0010000129,0420003215,0420003398,0420001568,0420000131,0010000188,0010000172,0010000237,0010000039,0220000475,0420003213,0010000590,0420003283,0420001544,0420001555,0010000007,0010001368,0010000959,0010000019,0420003174,0420003114,0010001559,0420003189,0010000142,0010001766,0010001402,0420003138,0010001546,0010001051,0420001214,0010000241,0010001358,0420000714,0420003569,0420003449,0420000690,0420001566,0420001559,0010001075,0420003188,0420003256,0420001195,0010000171,0010001561,0010000162,0010001019,0010000000,0190000394
0010000032;0080000011,0010000592
0010000033;0010000535,0010000987
0010000034;0010001339,0010000550
0010000036;0010000707
0010000038;0010001566,0010000654,0640000149
0010000039;0400000957,0420001194,0420003377,0420003117,0010000171,0420000153,0420003285,0010001267
0010000042;0010000789,0010001839,0010000584,0010000565,0010000562,0010000145,0010000569,0010001058,0010000480
0010000043;0300000664,0010000011,0010000996,0010001031,0010000797,0010000335,0010002003,0010001593,0010000025,0300000388,0010000324,0010001046,0010001988,0010000557,0010000005,0010000168,0010002083,0010001142
0010000044;0130000214,0130000054,0010001932
0010000045;0010000025,0120000329,0010000022,0010000030
0010000046;0420003167,0420003237,0420003506,0340000061,0420003130,0420003412,0420000071,0010000579,0420000145,0420002228,0010001057,0420003233,0010001364,0420003166,0010001018,0010000675,0420003479,0420003148,0010000633,0420002022,0420001562,0420003111,0010000693,0420003401,0400001023,0010000976,0420003538,0400001022,0010000596,0420003204,0200000375,0010001427,0010001809,0420003151,0420003144,0010001267,0010002103,0420003607,0420003242,0420003201,0010001813,0420003241,0010002145,0010000711,0010000279,0420003200,0420002258,0010000132,0420003377,0420001596,0420003440,0400000169,0420003315,0010001872,0010000248,0420000065,0420003546,0010000592,0420003119,0010000650,0420002232,0420003109,0420003100,0420002032,0010000992,0420003152,0420000701,0010001281,0400001387,0010001782,0420001190,0010000626,0420001553,0010001795,0190000021,0420000678,0420003168,0010001779,0420003493,0010001417,0340001535,0420003129,0420003112,0420003280,0420003373,0420003227,0010001006,0010001321,0010001821,0420001185,0080001143,0010000176,0420003250,0010002120,0010001021,0420003107,0010000133,0410001289,0010000073,0420003583,0010000691,0420003614,0010000534,0420003642,0420001217,0420003198,0010001382,0010002084,0010000129,0010001072,0010000188,0010000172,0010000590,0420001544,0010000007,0010001368,0010000959,0010000019,0420003114,0010001559,0010000142,0010001766,0420003138,0010001051,0010000241,0010001358,0010001075,0420002718,0420001220,0420001195,0010000171,0010000031,0420002252,0420003591,0420003274,0010000162,0010000000
0010000047;0420002235,0420003598,0420000178,0420000071,0010001057,0420003233,0420003177,0420001558,0420003166,0010001018,0010000244,0010000230,0420003272,0730001018,0420002022,0420001562,0010001582,0420000077,0420000732,0420001764,0010000234,0420003261,0420003673,0010001267,0010002103,0420003607,0420003225,0010002145,0420000102,0010000711,0400000235,0420003193,0010000279,0010000132,0010001029,0420003589,0010001812,0010001400,0010000248,0420003546,0010000724,0010001561,0190000003,0010000265,0420002739,0420000087,0420003100,0010000078,0010001367,0010001020,0010000690,0010001551,0010001281,0420003223,0010001782,0420001190,0010001795,0190000021,0420001580,0010001807,0010001417,0010000259,0010000219,0420003484,0010001798,0420003516,0340001535,0010000266,0340000290,0420003129,0010000629,0190000010,0010001006,0010001321,0010001293,0010001821,0010000705,0080001143,0010000176,0010001021,0420002726,0420003107,0010000133,0420001556,0010000073,0010000975,0420003294,0010000069,0010002084,0010000623,0010000129,0010001072,0420000298,0420000668,0420001568,0010000188,0010000172,0010000237,0010000067,0010001083,0010001380,0220000475,0010000590,0130000144,0010000007,0010001368,0010000959,0010000019,0010001559,0420003525,0010000142,0010001766,0010001546,0010001051,0010000241,0010001358,0190000622,0420003449,0420000125,0420001566,0010001288,0420001559,0010001075,0010000171,0420002252,0420003274,0010000162,0010000000
0010000050;0010000010
0010000053;0010000789,0090000013,0010001140,0010000565,0010001108,0010000508,0010000569,0010000008,0010000033
0010000054;0130000099,0010001278,0060000004,0010000057,0010000535,0080000043,0090000032,0070000006,0130000090,0130000065,0080000014,0010000033,0130000140
0010000055;0010000051,0130000270,0440001054,0090000041,0300000232,0010000028,0100001041
0010000057;0010000048
0010000058;0380001290,0090001754,0380001200,0400001353,0380001301,0380001282,0010000086,0380001236,0010001683,0380001243,0380001271,0010000154,0330000547,0010000214,0010000800,0010000115,0100001480,0380000857,0050001402,0090000316,0380001291,0010000021,0090000044,0010000217,0380001228,0050001428,0400001449,0010000693,0380001276,0380001238,0010000999,0030000303,0010000904,0010000128,0050000180,0360000134,0010000691
0010000059;0020000000,0050000941,0010000654,0050001019,0010001566,0380000857
